business_id,positive,negative,proportion,stars
eZDXz_RylvdD0tHEA8I0NA,5,1,0.8333333333333334,4.0
tM_MMrMFwf5rJv9rbu4NQQ,2,0,1.0,3.0
nsSfCKW9KDB4COj9bzXApw,5,0,1.0,3.0
e3P9dVUNlTuhlnFOZH3vAw,3,0,1.0,4.0
2eJ2HCV9xhvYSmc1zNyLOg,3,0,1.0,3.5
hnv8ULp2Gm74GjZFaIIWKw,0,0,,4.5
qGtagj4xXNrF9rIEkiihTw,0,0,,4.5
JuO9QpkdmbTS95GSXh4dZw,11,1,0.9166666666666666,3.0
Xdzd_3-eh0sxCZOXGhEWkw,3,0,1.0,4.5
gcNC4k7TZJVX_1YHdIkDNQ,4,1,0.8,4.0
l6TEtn0bxJlXXVnKhwyeAw,0,0,,3.5
7aZf5c1UNotq4MabBXMZLA,0,0,,3.5
jlcnzJ_0Sr2w3l7Z9HaVow,1,0,1.0,3.0
gf68voXoY4LqSC_7Qq5t9A,13,1,0.9285714285714286,3.5
EUQoB_ph7_xIyj7JZGI3bg,1,1,0.5,3.5
cVtpNvkn5e6DZ1HEZSSGTA,5,0,1.0,4.0
Lv9wzkvPrVG-VdPGcw53_A,17,0,1.0,3.5
Z1mLBp6BMlHSQUh364vk1g,11,0,1.0,4.0
djPTbIprBXGqaV-D8eq77A,21,1,0.9545454545454546,2.5
Lhl72icGvaW2rFClTy-hog,0,0,,4.0
CzqGem5OaPAk10bQK4bzbg,1,0,1.0,4.0
2JsLzYF8rUalwpm5LDEcog,3,2,0.6,3.5
JsRt9LPgv-7guVcY4u6OQA,3,0,1.0,4.5
